BRAND,MODEL,VARIANT,MANUFACTURING YEAR,FUEL_TYPE_CLEAN,TRANSMISSION_TYPE,VEHICLE_CATEGORY,PRICE(INR),PRICE_SEGMENT,SEATING CAPACITY,DISPLACEMENT,HORSEPOWER,TORQUE(LB.FT),MILEAGE(km/L),MAX DISTANCE(FULL TANK),LENGTH_MM,WIDTH_MM,HEIGHT_MM,AIRBAGS,CHILD_LOCK,SERVICE_COST_NUM,SAFETY_SCORE,COMFORT_SCORE,TECH_SCORE,PERFORMANCE_SCORE,NUMBER OF CYLINDERS,DRIVETRAIN,TARGET
MG,Hector,Style,2019,Petrol,Manual/Auto,SUV,1289000,Value,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2019,Petrol,Manual/Auto,SUV,1454000,Value,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2019,Diesel,Manual,SUV,1584000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2019,Petrol,Manual/Auto,SUV,1613000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2019,Diesel,Manual,SUV,1743000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2019,Petrol,Manual/Auto,SUV,1869000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2019,Diesel,Manual,SUV,1999000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Style,2020,Petrol,Manual/Auto,SUV,1350000,Value,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2020,Petrol,Manual/Auto,SUV,1520000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2020,Diesel,Manual,SUV,1650000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2020,Petrol,Manual/Auto,SUV,1690000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2020,Diesel,Manual,SUV,1820000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2020,Petrol,Manual/Auto,SUV,1960000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2020,Diesel,Manual,SUV,2090000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Style,2021,Petrol,Manual/Auto,SUV,1420000,Value,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2021,Petrol,Manual/Auto,SUV,1600000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2021,Diesel,Manual,SUV,1730000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2021,Petrol,Manual/Auto,SUV,1780000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2021,Diesel,Manual,SUV,1910000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2021,Petrol,Manual/Auto,SUV,2065000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2021,Diesel,Manual,SUV,2195000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Style,2022,Petrol,Manual/Auto,SUV,1500000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2022,Petrol,Manual/Auto,SUV,1690000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2022,Diesel,Manual,SUV,1820000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2022,Petrol,Manual/Auto,SUV,1880000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2022,Diesel,Manual,SUV,2010000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2022,Petrol,Manual/Auto,SUV,2185000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2022,Diesel,Manual,SUV,2315000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
